region	network	event_id	magnitude	event_date	event_time	place	stations_200km	stations_300km	existing_data_status	workflow_status	download_status	obs_validation_status	process_status	plot_status	quality_status	quality_station_count	quality_ok_stations	quality_warn_stations	quality_fail_stations	station_health_ratio	requested_stations	obs_files	kin_files	plot_files	cleanup_status	pride_cleanup_status	obs_cleanup_status	duration_seconds	workflow_dir	summary_json	collection_status	export_event_dir	export_region	export_country	export_network	export_station_count	export_ok_station_count	export_warn_station_count	export_waveform_rows	export_event_grade	export_quality_filter	export_stations	export_package_status
AU	Geoscience Australia	us7000s8q0	7.3	2026-03-30	2026-03-30T08:44:13.780Z	51 km ENE of Luganville, Vanuatu			HAS_NORMALIZED	DONE	OK	OK	OK		OK	1	1	0	0	1.0	1	1	1						/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/us7000s8q0/workflow-20260330T084413Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/us7000s8q0/workflow-20260330T084413Z/reports/workflow-summary.json	EXPORTED	au-us7000s8q0-m7-3-20260330-51-km-ene-of-luganville-vanuatu	Americas	Americas	EarthScope	1	1	0	2703	C	quality_status in OK,WARN	PTVL	COMPLETE
AU	Geoscience Australia	us7000pvtr	6.8	2025-04-29	2025-04-29T14:53:37.897Z	Macquarie Island region			HAS_NORMALIZED	DONE	OK	OK	OK		OK	1	1	0	0	1.0	1	1	1						/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/us7000pvtr/workflow-20250429T145337Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/us7000pvtr/workflow-20250429T145337Z/reports/workflow-summary.json	EXPORTED	au-us7000pvtr-m6-8-20250429-macquarie-island-region	Americas	Americas	EarthScope	1	1	0	2499	C	quality_status in OK,WARN	MAC1	COMPLETE
