magnitude_bin	formula	quality_filter	event_count	bias_mw	mae_mw	rmse_mw	median_abs_error_mw
6.0-7.0	crowell_2016_gfast	ALL	65	0.841055	0.852737	0.948028	0.880574
6.0-7.0	melgar_2015	ALL	65	0.561750	0.605850	0.709677	0.611665
6.0-7.0	ruhl_2019	ALL	65	0.345226	0.471771	0.572005	0.424996
7.0-8.0	crowell_2016_gfast	ALL	10	0.170682	0.222848	0.312730	0.125904
7.0-8.0	melgar_2015	ALL	10	-0.038293	0.228743	0.280551	0.191122
7.0-8.0	ruhl_2019	ALL	10	-0.229445	0.335729	0.378391	0.328862
8.0+	crowell_2016_gfast	ALL	1	-0.113275	0.113275	0.113275	0.113275
8.0+	melgar_2015	ALL	1	-0.221715	0.221715	0.221715	0.221715
8.0+	ruhl_2019	ALL	1	-0.337653	0.337653	0.337653	0.337653
