magnitude_bin	formula	quality_filter	event_count	bias_mw	mae_mw	rmse_mw	median_abs_error_mw
6.0-7.0	crowell_2016_gfast	HIGH_OR_MEDIUM	3	0.881045	0.881045	0.967163	0.985227
6.0-7.0	melgar_2015	HIGH_OR_MEDIUM	3	0.562545	0.565004	0.698753	0.714386
6.0-7.0	ruhl_2019	HIGH_OR_MEDIUM	3	0.347574	0.517842	0.562772	0.503558
7.0-8.0	crowell_2016_gfast	HIGH_OR_MEDIUM	2	-0.005028	0.142113	0.142202	0.142113
7.0-8.0	melgar_2015	HIGH_OR_MEDIUM	2	-0.205184	0.223945	0.303730	0.223945
7.0-8.0	ruhl_2019	HIGH_OR_MEDIUM	2	-0.385887	0.385887	0.460524	0.385887
