magnitude_bin	formula	quality_filter	event_count	bias_mw	mae_mw	rmse_mw	median_abs_error_mw
6.0-7.0	crowell_2016_gfast	HIGH_OR_MEDIUM	8	0.699986	0.699986	0.782740	0.664689
6.0-7.0	melgar_2015	HIGH_OR_MEDIUM	8	0.414668	0.415590	0.532096	0.391733
6.0-7.0	ruhl_2019	HIGH_OR_MEDIUM	8	0.191917	0.320078	0.399902	0.293676
7.0-8.0	crowell_2016_gfast	HIGH_OR_MEDIUM	5	0.016494	0.158177	0.160963	0.147141
7.0-8.0	melgar_2015	HIGH_OR_MEDIUM	5	-0.166986	0.174490	0.230940	0.155123
7.0-8.0	ruhl_2019	HIGH_OR_MEDIUM	5	-0.353454	0.353454	0.393702	0.363403
