magnitude_bin	formula	quality_filter	event_count	bias_mw	mae_mw	rmse_mw	median_abs_error_mw
6.0-7.0	crowell_2016_gfast	ALL	80	0.824275	0.833767	0.929012	0.887726
6.0-7.0	melgar_2015	ALL	80	0.547638	0.586540	0.695627	0.583787
6.0-7.0	ruhl_2019	ALL	80	0.329868	0.453517	0.558600	0.408270
7.0-8.0	crowell_2016_gfast	ALL	13	0.138411	0.210395	0.286504	0.137085
7.0-8.0	melgar_2015	ALL	13	-0.062115	0.208614	0.258584	0.155123
7.0-8.0	ruhl_2019	ALL	13	-0.253072	0.334830	0.370305	0.350181
8.0+	crowell_2016_gfast	ALL	1	-0.113275	0.113275	0.113275	0.113275
8.0+	melgar_2015	ALL	1	-0.221715	0.221715	0.221715	0.221715
8.0+	ruhl_2019	ALL	1	-0.337653	0.337653	0.337653	0.337653
